ticker,close,vwap,adv_shares,tradable,upper_limit_hit,lower_limit_hit
AAPL,248.800003,248.800003,40546695.000000,True,False,False
MSFT,356.769989,356.769989,32756360.000000,True,False,False
NVDA,167.520004,167.520004,180721205.000000,True,False,False
LLY,878.239990,878.239990,2778880.000000,True,False,False
UNH,259.019989,259.019989,8736880.000000,True,False,False
JNJ,240.449997,240.449997,7779940.000000,True,False,False
ABBV,209.399994,209.399994,7528325.000000,True,False,False
VRTX,433.070007,433.070007,1462480.000000,True,False,False
JPM,282.839996,282.839996,10972745.000000,True,False,False
BAC,46.970001,46.970001,44047955.000000,True,False,False
GS,802.890015,802.890015,2432855.000000,True,False,False
AMZN,199.339996,199.339996,45216310.000000,True,False,False
TSLA,361.829987,361.829987,60949305.000000,True,False,False
HD,321.649994,321.649994,4257745.000000,True,False,False
MCD,305.899994,305.899994,3217845.000000,True,False,False
GOOGL,274.339996,274.339996,29596190.000000,True,False,False
META,525.719971,525.719971,14834390.000000,True,False,False
NFLX,93.430000,93.430000,43092395.000000,True,False,False
UBER,69.180000,69.180000,18281010.000000,True,False,False
GE,282.809998,282.809998,5423185.000000,True,False,False
CAT,695.400024,695.400024,2704915.000000,True,False,False
RTX,189.710007,189.710007,6067595.000000,True,False,False
LIN,491.119995,491.119995,2867985.000000,True,False,False
FCX,56.240002,56.240002,19524355.000000,True,False,False
XOM,170.990005,170.990005,24407250.000000,True,False,False
CVX,211.149994,211.149994,15304345.000000,True,False,False
NEE,91.400002,91.400002,9556165.000000,True,False,False
SO,95.550003,95.550003,5422440.000000,True,False,False
WMT,122.889999,122.889999,20902510.000000,True,False,False
COST,983.859985,983.859985,1728475.000000,True,False,False
KO,75.709999,75.709999,16740830.000000,True,False,False
AMT,169.520004,169.520004,3267515.000000,True,False,False
PLD,128.899994,128.899994,3518415.000000,True,False,False
